127.0.0.1 - - [05/Feb/2020:14:44:52 +0100] "GET / HTTP/1.1" 404 996
127.0.0.1 - - [05/Feb/2020:14:44:53 +0100] "GET /tv/ HTTP/1.1" 200 1049
127.0.0.1 - - [05/Feb/2020:14:44:53 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Feb/2020:14:44:53 +0100] "GET /tv/common/styleMap.css HTTP/1.1" 304 -
127.0.0.1 - - [05/Feb/2020:14:44:53 +0100] "GET /tv/common/footer.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:07 +0100] "POST /tv/candidate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:13 +0100] "GET /tv/candidate HTTP/1.1" 200 2584
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:13 +0100] "GET /tv/common/footer.html HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:13 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:45:20 +0100] "POST /tv/candidate HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:47:20 +0100] "POST /tv/candidate HTTP/1.1" 200 5629
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:47:20 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:47:20 +0100] "GET /tv/script/includeHTML.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:47:20 +0100] "GET /tv/script/toggleMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:14:47:20 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:01:59 +0100] "POST /tv/candidate HTTP/1.1" 200 6084
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:01:59 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:10:33 +0100] "POST /tv/candidate HTTP/1.1" 200 6084
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:10:33 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:20:20 +0100] "POST /tv/candidate HTTP/1.1" 200 6072
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:20:20 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:22:26 +0100] "POST /tv/candidate HTTP/1.1" 200 6072
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:22:26 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:22:43 +0100] "POST /tv/candidate HTTP/1.1" 200 6072
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:22:43 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:25:11 +0100] "POST /tv/candidate HTTP/1.1" 200 6073
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:25:11 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:30:29 +0100] "POST /tv/candidate HTTP/1.1" 200 6073
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:30:29 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:30:32 +0100] "POST /tv/candidate HTTP/1.1" 200 6073
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:30:32 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:38:10 +0100] "POST /tv/candidate HTTP/1.1" 200 6065
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:38:10 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:40:43 +0100] "POST /tv/candidate HTTP/1.1" 200 6064
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:40:43 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:41:46 +0100] "POST /tv/candidate HTTP/1.1" 200 6056
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:41:46 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
127.0.0.1 - - [05/Feb/2020:16:43:14 +0100] "GET /tv/candidate HTTP/1.1" 200 2584
127.0.0.1 - - [05/Feb/2020:16:43:14 +0100] "GET /tv/script/includeHTML.js HTTP/1.1" 200 974
127.0.0.1 - - [05/Feb/2020:16:43:14 +0100] "GET /tv/script/toggleMenu.js HTTP/1.1" 200 191
127.0.0.1 - - [05/Feb/2020:16:43:14 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 200 7006
127.0.0.1 - - [05/Feb/2020:16:43:14 +0100] "GET /tv/common/menuNotConnected.html HTTP/1.1" 200 352
127.0.0.1 - - [05/Feb/2020:16:43:14 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
127.0.0.1 - - [05/Feb/2020:16:43:14 +0100] "GET /tv/common/footer.html HTTP/1.1" 200 109
127.0.0.1 - - [05/Feb/2020:16:44:02 +0100] "POST /tv/candidate HTTP/1.1" 200 6056
127.0.0.1 - - [05/Feb/2020:16:44:02 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 200 1829
127.0.0.1 - - [05/Feb/2020:16:44:02 +0100] "GET /tv/common/menuNotConnected.html HTTP/1.1" 200 352
127.0.0.1 - - [05/Feb/2020:16:44:02 +0100] "GET /favicon.ico HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:45:58 +0100] "POST /tv/candidate HTTP/1.1" 200 6056
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:45:58 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 200 7006
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:45:58 +0100] "GET /tv/script/includeHTML.js HTTP/1.1" 200 974
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:45:58 +0100] "GET /tv/script/toggleMenu.js HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:45:58 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:45:58 +0100] "GET /tv/common/menuNotConnected.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:45:58 +0100] "GET /tv/common/footer.html HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:45:58 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:54:22 +0100] "POST /tv/candidate HTTP/1.1" 200 6056
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:54:22 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:54:22 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:56:32 +0100] "POST /tv/candidate HTTP/1.1" 200 6011
0:0:0:0:0:0:0:1 - - [05/Feb/2020:16:56:32 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:05:19 +0100] "POST /tv/candidate HTTP/1.1" 200 5952
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:05:20 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:05:20 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:07:04 +0100] "POST /tv/candidate HTTP/1.1" 200 5952
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:07:04 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:07:04 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:08:05 +0100] "POST /tv/candidate HTTP/1.1" 200 5953
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:08:05 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:08:05 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:08:14 +0100] "POST /tv/candidate HTTP/1.1" 200 5953
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:08:14 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:08:14 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:08:26 +0100] "POST /tv/candidate HTTP/1.1" 200 5953
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:08:26 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:08:26 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:09:51 +0100] "POST /tv/candidate HTTP/1.1" 200 5953
0:0:0:0:0:0:0:1 - - [05/Feb/2020:17:09:51 +0100] "GET /tv/script/questionnary.js HTTP/1.1" 304 -
