0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:38:36 +0100] "GET /tv/candidate HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:06 +0100] "GET /tv/candidate HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:06 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:11 +0100] "GET /tv/candidate HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:11 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
127.0.0.1 - - [15/Dec/2019:19:39:39 +0100] "GET / HTTP/1.1" 404 996
127.0.0.1 - - [15/Dec/2019:19:39:39 +0100] "GET /tv/servlet/servlets.CandidateServlet HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:42 +0100] "GET /tv/candidate HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:42 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:44 +0100] "GET /tv/candidate HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:44 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:44 +0100] "GET /tv/candidate HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:44 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:44 +0100] "GET /tv/candidate HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:44 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:44 +0100] "GET /tv/candidate HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:45 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:45 +0100] "GET /tv/candidate HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:39:45 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:40:01 +0100] "GET /tv/candidate HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:40:01 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:40:35 +0100] "GET /tv/candidate HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:40:35 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:40:56 +0100] "GET /tv/candidate HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [15/Dec/2019:19:40:56 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
127.0.0.1 - - [15/Dec/2019:20:09:41 +0100] "GET / HTTP/1.1" 404 996
127.0.0.1 - - [15/Dec/2019:20:09:41 +0100] "GET /tv/servlet/servlets.CandidateServlet HTTP/1.1" 404 1040
127.0.0.1 - - [15/Dec/2019:20:09:49 +0100] "GET /tv HTTP/1.1" 302 -
127.0.0.1 - - [15/Dec/2019:20:09:49 +0100] "GET /tv/ HTTP/1.1" 200 1049
127.0.0.1 - - [15/Dec/2019:20:09:52 +0100] "GET /tv/connect HTTP/1.1" 200 1854
127.0.0.1 - - [15/Dec/2019:20:09:59 +0100] "GET /tv/candidate HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:13:26 +0100] "GET /tv/candidate HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:13:26 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:13:28 +0100] "GET /tv/candidate HTTP/1.1" 200 2121
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:13:28 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
127.0.0.1 - - [15/Dec/2019:20:19:26 +0100] "GET / HTTP/1.1" 404 996
127.0.0.1 - - [15/Dec/2019:20:19:26 +0100] "GET /tv/servlet/servlets.CandidateServlet HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:19:31 +0100] "GET /tv/candidate HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:19:32 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:28:28 +0100] "GET /tv/candidate HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:28:28 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:05 +0100] "GET /tv/candidate HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:05 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:07 +0100] "GET /tv/candidate HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:07 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:07 +0100] "GET /tv/candidate HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:07 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:08 +0100] "GET /tv/candidate HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:08 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:08 +0100] "GET /tv/candidate HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:08 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:08 +0100] "GET /tv/candidate HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:08 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:08 +0100] "GET /tv/candidate HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:08 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:08 +0100] "GET /tv/candidate HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:08 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:09 +0100] "GET /tv/candidate HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:09 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:34 +0100] "GET /tv/candidate HTTP/1.1" 200 2172
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:33:34 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:34:14 +0100] "GET /tv/candidate HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:34:14 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:46:26 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:46:26 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:48:33 +0100] "GET /tv/candidate HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:48:33 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:50:45 +0100] "GET /tv/candidate HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:50:45 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:50:47 +0100] "GET /tv/candidate HTTP/1.1" 200 2201
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:50:47 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:50:56 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:50:56 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:51:05 +0100] "GET /tv/connect HTTP/1.1" 200 1854
0:0:0:0:0:0:0:1 - - [15/Dec/2019:20:51:11 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:39:15 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:39:15 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:39:19 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:39:19 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:39:24 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:39:24 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:39:40 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:39:40 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:39:41 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:39:41 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
127.0.0.1 - - [15/Dec/2019:22:40:29 +0100] "GET / HTTP/1.1" 404 996
127.0.0.1 - - [15/Dec/2019:22:40:30 +0100] "GET /tv/servlet/servlets.CandidateServlet HTTP/1.1" 404 1040
127.0.0.1 - - [15/Dec/2019:22:40:38 +0100] "GET /tv HTTP/1.1" 302 -
127.0.0.1 - - [15/Dec/2019:22:40:38 +0100] "GET /tv/ HTTP/1.1" 200 1049
127.0.0.1 - - [15/Dec/2019:22:40:41 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
127.0.0.1 - - [15/Dec/2019:22:41:11 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
127.0.0.1 - - [15/Dec/2019:22:41:11 +0100] "GET /tv/common/styleMain.css HTTP/1.1" 200 3416
127.0.0.1 - - [15/Dec/2019:22:41:11 +0100] "GET /tv/script/includeHTML.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:22:41:11 +0100] "GET /tv/script/toggleMenu.js HTTP/1.1" 304 -
127.0.0.1 - - [15/Dec/2019:22:41:11 +0100] "GET /tv/common/menuNotConnected.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:23 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:23 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:24 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:24 +0100] "GET /tv/pictures/icon.png HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Dec/2019:22:41:24 +0100] "GET /tv/candidate HTTP/1.1" 200 2224
